,initial_pos,no_of_pits,tyre_grid,tyre_1,tyre_2,tyre_grid_distance,tyre_1_distance,tyre_2_distance,sc,Temperature,Humidity,Altitude,Turns,RaceDistance,TrackLength,TeamAbility,DriverAbility,final_pos_gained
91,10.0,1.0,3.0,2.0,2.0,1.0,43.0,0.0,1.0,61.4,0.62,102.2,19.0,44.0,7.004,91.0,54.0,-4.0
93,2.0,2.0,3.0,2.0,3.0,15.0,18.0,11.0,0.0,61.4,0.62,102.2,19.0,44.0,7.004,504.0,240.0,-2.0
94,6.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,2.0,61.4,0.62,102.2,19.0,44.0,7.004,57.0,43.0,-10.0
95,9.0,1.0,3.0,2.0,2.0,16.0,28.0,0.0,0.0,61.4,0.62,102.2,19.0,44.0,7.004,0.0,8.0,-4.0
96,13.0,1.0,3.0,2.0,2.0,13.0,31.0,0.0,0.0,61.4,0.62,102.2,19.0,44.0,7.004,85.0,95.0,4.0
98,1.0,1.0,3.0,2.0,2.0,21.0,23.0,0.0,0.0,61.4,0.62,102.2,19.0,44.0,7.004,504.0,264.0,0.0
99,16.0,2.0,3.0,2.0,3.0,14.0,16.0,14.0,0.0,61.4,0.62,102.2,19.0,44.0,7.004,73.0,21.0,6.0
100,8.0,1.0,3.0,2.0,2.0,25.0,19.0,0.0,0.0,61.4,0.62,102.2,19.0,44.0,7.004,0.0,20.0,-4.0
101,17.0,1.0,2.0,3.0,3.0,23.0,21.0,0.0,0.0,61.4,0.62,102.2,19.0,44.0,7.004,417.0,92.0,12.0
102,19.0,1.0,2.0,3.0,3.0,24.0,20.0,0.0,0.0,61.4,0.62,102.2,19.0,44.0,7.004,85.0,37.0,12.0
103,12.0,2.0,3.0,2.0,3.0,11.0,20.0,13.0,0.0,61.4,0.62,102.2,19.0,44.0,7.004,91.0,37.0,4.0
104,3.0,1.0,3.0,2.0,2.0,22.0,22.0,0.0,0.0,61.4,0.62,102.2,19.0,44.0,7.004,739.0,413.0,1.0
105,14.0,1.0,2.0,3.0,3.0,30.0,14.0,0.0,0.0,61.4,0.62,102.2,19.0,44.0,7.004,1.0,0.0,-1.0
106,4.0,1.0,3.0,2.0,2.0,23.0,21.0,0.0,0.0,61.4,0.62,102.2,19.0,44.0,7.004,739.0,326.0,1.0
107,20.0,1.0,2.0,3.0,3.0,31.0,13.0,0.0,0.0,61.4,0.62,102.2,19.0,44.0,7.004,1.0,1.0,3.0
109,11.0,2.0,2.0,3.0,3.0,8.0,32.0,31.0,0.0,67.2,0.66,43.0,15.0,71.0,4.309,91.0,54.0,5.0
111,8.0,2.0,3.0,2.0,3.0,21.0,26.0,24.0,0.0,67.2,0.66,43.0,15.0,71.0,4.309,57.0,43.0,4.0
112,7.0,2.0,3.0,2.0,3.0,26.0,39.0,6.0,0.0,67.2,0.66,43.0,15.0,71.0,4.309,28.0,8.0,-6.0
113,6.0,2.0,3.0,2.0,3.0,22.0,25.0,24.0,0.0,67.2,0.66,43.0,15.0,71.0,4.309,85.0,95.0,4.0
114,15.0,2.0,3.0,2.0,3.0,17.0,28.0,26.0,0.0,67.2,0.66,43.0,15.0,71.0,4.309,73.0,52.0,6.0
115,9.0,2.0,3.0,2.0,3.0,27.0,26.0,18.0,0.0,67.2,0.66,43.0,15.0,71.0,4.309,28.0,20.0,-2.0
116,5.0,2.0,3.0,2.0,3.0,24.0,26.0,21.0,0.0,67.2,0.66,43.0,15.0,71.0,4.309,417.0,92.0,-9.0
117,16.0,2.0,2.0,3.0,3.0,23.0,23.0,25.0,0.0,67.2,0.66,43.0,15.0,71.0,4.309,85.0,37.0,6.0
118,13.0,3.0,2.0,1.0,3.0,27.0,17.0,0.0,0.0,67.2,0.66,43.0,15.0,71.0,4.309,91.0,37.0,-2.0
120,3.0,3.0,3.0,3.0,2.0,20.0,23.0,0.0,1.0,67.2,0.66,43.0,15.0,71.0,4.309,739.0,413.0,-4.0
121,20.0,1.0,3.0,2.0,2.0,29.0,42.0,0.0,0.0,67.2,0.66,43.0,15.0,71.0,4.309,145.0,96.0,17.0
122,18.0,3.0,2.0,2.0,3.0,23.0,31.0,0.0,2.0,67.2,0.66,43.0,15.0,71.0,4.309,1.0,0.0,6.0
123,19.0,4.0,2.0,2.0,1.0,20.0,16.0,0.0,1.0,67.2,0.66,43.0,15.0,71.0,4.309,1.0,1.0,3.0
124,12.0,2.0,3.0,2.0,3.0,20.0,26.0,25.0,0.0,67.2,0.66,43.0,15.0,71.0,4.309,57.0,14.0,7.0
125,7.0,2.0,3.0,2.0,1.0,12.0,8.0,32.0,1.0,64.91,0.72,11.3,18.0,52.0,5.891,91.0,54.0,0.0
126,8.0,2.0,3.0,2.0,1.0,13.0,22.0,17.0,0.0,64.91,0.72,11.3,18.0,52.0,5.891,145.0,49.0,-3.0
127,6.0,2.0,3.0,1.0,2.0,20.0,18.0,14.0,1.0,64.91,0.72,11.3,18.0,52.0,5.891,504.0,240.0,-10.0
128,12.0,1.0,2.0,1.0,1.0,17.0,35.0,0.0,0.0,64.91,0.72,11.3,18.0,52.0,5.891,57.0,43.0,4.0
129,5.0,1.0,2.0,1.0,1.0,12.0,40.0,0.0,0.0,64.91,0.72,11.3,18.0,52.0,5.891,417.0,95.0,1.0
130,15.0,3.0,2.0,1.0,3.0,18.0,6.0,0.0,0.0,64.91,0.72,11.3,18.0,52.0,5.891,73.0,52.0,-2.0
131,3.0,2.0,3.0,2.0,1.0,13.0,8.0,31.0,1.0,64.91,0.72,11.3,18.0,52.0,5.891,504.0,264.0,0.0
132,18.0,2.0,2.0,1.0,3.0,13.0,26.0,13.0,0.0,64.91,0.72,11.3,18.0,52.0,5.891,73.0,21.0,5.0
