,initial_pos,sc_lap,sc_decision,sc_laps_travelled,sc_laps_remaining,sc_tyre_compound,before_pit_pos,Temperature,Humidity,Altitude,Turns,RaceDistance,TrackLength,TeamAbility,DriverAbility,final_pos_gained
170,6.0,51.0,0.0,37.0,13.0,2.0,6.0,64.81,0.73,32.0,15.0,63.0,4.909,319.0,105.0,-9.0
171,8.0,51.0,1.0,37.0,13.0,2.0,8.0,64.81,0.73,32.0,15.0,63.0,4.909,107.0,32.0,4.0
172,2.0,51.0,1.0,21.0,13.0,2.0,1.0,64.81,0.73,32.0,15.0,63.0,4.909,573.0,347.0,1.0
173,10.0,51.0,1.0,34.0,13.0,3.0,9.0,64.81,0.73,32.0,15.0,63.0,4.909,202.0,105.0,3.0
174,1.0,51.0,1.0,32.0,13.0,2.0,2.0,64.81,0.73,32.0,15.0,63.0,4.909,573.0,223.0,-1.0
175,20.0,51.0,0.0,41.0,13.0,3.0,12.0,64.81,0.73,32.0,15.0,63.0,4.909,8.0,4.0,10.0
176,7.0,20.0,1.0,2.0,34.0,4.0,5.0,82.29,0.48,12.8,11.0,59.0,5.793,181.0,119.0,1.0
177,6.0,20.0,1.0,2.0,34.0,4.0,3.0,82.29,0.48,12.8,11.0,59.0,5.793,202.0,97.0,2.0
178,20.0,20.0,0.0,4.0,34.0,2.0,18.0,82.29,0.48,12.8,11.0,59.0,5.793,0.0,0.0,9.0
179,14.0,20.0,0.0,2.0,34.0,2.0,16.0,82.29,0.48,12.8,11.0,59.0,5.793,8.0,4.0,1.0
180,16.0,20.0,1.0,2.0,34.0,3.0,12.0,82.29,0.48,12.8,11.0,59.0,5.793,3.0,2.0,4.0
181,10.0,20.0,0.0,1.0,34.0,2.0,15.0,82.29,0.48,12.8,11.0,59.0,5.793,107.0,75.0,9.0
182,4.0,20.0,1.0,2.0,34.0,4.0,4.0,82.29,0.48,12.8,11.0,59.0,5.793,195.0,125.0,-6.0
183,8.0,20.0,0.0,6.0,34.0,4.0,8.0,82.29,0.48,12.8,11.0,59.0,5.793,195.0,75.0,5.0
184,9.0,20.0,1.0,2.0,34.0,4.0,11.0,82.29,0.48,12.8,11.0,59.0,5.793,319.0,105.0,-6.0
185,11.0,20.0,1.0,2.0,34.0,2.0,10.0,82.29,0.48,12.8,11.0,59.0,5.793,107.0,32.0,2.0
186,12.0,20.0,1.0,2.0,34.0,4.0,9.0,82.29,0.48,12.8,11.0,59.0,5.793,181.0,0.0,4.0
187,1.0,20.0,1.0,20.0,34.0,4.0,1.0,82.29,0.48,12.8,11.0,59.0,5.793,573.0,347.0,-6.0
188,3.0,20.0,1.0,2.0,34.0,4.0,2.0,82.29,0.48,12.8,11.0,59.0,5.793,202.0,105.0,1.0
189,19.0,20.0,1.0,2.0,34.0,3.0,14.0,82.29,0.48,12.8,11.0,59.0,5.793,0.0,3.0,5.0
190,2.0,20.0,1.0,2.0,34.0,4.0,6.0,82.29,0.48,12.8,11.0,59.0,5.793,573.0,223.0,-3.0
191,18.0,20.0,1.0,20.0,34.0,3.0,13.0,82.29,0.48,12.8,11.0,59.0,5.793,8.0,4.0,2.0
192,7.0,25.0,1.0,3.0,29.0,3.0,10.0,82.29,0.48,12.8,11.0,59.0,5.793,181.0,119.0,1.0
193,6.0,25.0,1.0,3.0,29.0,3.0,7.0,82.29,0.48,12.8,11.0,59.0,5.793,202.0,97.0,2.0
194,20.0,25.0,1.0,9.0,29.0,2.0,9.0,82.29,0.48,12.8,11.0,59.0,5.793,0.0,0.0,9.0
195,14.0,25.0,1.0,7.0,29.0,2.0,4.0,82.29,0.48,12.8,11.0,59.0,5.793,8.0,4.0,1.0
196,16.0,25.0,1.0,3.0,29.0,2.0,17.0,82.29,0.48,12.8,11.0,59.0,5.793,3.0,2.0,4.0
197,10.0,25.0,1.0,6.0,29.0,2.0,3.0,82.29,0.48,12.8,11.0,59.0,5.793,107.0,75.0,9.0
198,4.0,25.0,1.0,3.0,29.0,3.0,14.0,82.29,0.48,12.8,11.0,59.0,5.793,195.0,125.0,-6.0
199,8.0,25.0,1.0,1.0,29.0,4.0,2.0,82.29,0.48,12.8,11.0,59.0,5.793,195.0,75.0,5.0
200,9.0,25.0,1.0,3.0,29.0,3.0,16.0,82.29,0.48,12.8,11.0,59.0,5.793,319.0,105.0,-6.0
201,11.0,25.0,1.0,3.0,29.0,3.0,13.0,82.29,0.48,12.8,11.0,59.0,5.793,107.0,32.0,2.0
202,12.0,25.0,1.0,3.0,29.0,3.0,12.0,82.29,0.48,12.8,11.0,59.0,5.793,181.0,0.0,4.0
203,1.0,25.0,1.0,5.0,29.0,3.0,1.0,82.29,0.48,12.8,11.0,59.0,5.793,573.0,347.0,-6.0
